City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,acapulco,75,MX,1543286820,83,16.86,-99.88,78.8,3.71
1,dudinka,0,RU,1543290250,33,69.41,86.18,-22.43,3.15
2,tacuarembo,92,UY,1543290250,44,-31.73,-55.98,65.82,13.0
3,cabo san lucas,20,MX,1543287120,77,22.89,-109.91,69.8,4.7
4,livingstone,68,ZW,1543290251,89,-17.85,25.86,65.96,3.38
5,aklavik,90,CA,1543287600,84,68.22,-135.01,1.4,4.27
6,provideniya,20,RU,1543287600,66,64.42,-173.23,15.8,15.66
7,alpena,90,US,1543288500,77,45.06,-83.43,29.3,12.75
8,qaanaaq,24,GL,1543290252,98,77.48,-69.36,-12.44,9.64
9,norman wells,75,CA,1543287600,85,65.28,-126.83,10.4,4.61
10,guarapari,75,BR,1543287600,94,-20.67,-40.5,75.2,3.36
11,saskylakh,48,RU,1543290253,43,71.97,114.09,-27.51,3.49
12,busselton,0,AU,1543290253,100,-33.64,115.35,62.99,3.71
13,atuona,12,PF,1543290253,100,-9.8,-139.03,80.45,13.0
14,leningradskiy,76,RU,1543290256,100,69.38,178.42,8.94,18.81
15,albany,90,US,1543287240,85,42.65,-73.75,39.92,8.97
16,bethel,90,US,1543289460,96,60.79,-161.76,19.94,5.82
17,georgetown,75,GY,1543287600,100,6.8,-58.16,75.2,9.17
18,camopi,92,GF,1543290258,100,3.17,-52.33,73.16,2.37
19,yulara,0,AU,1543287600,20,-25.24,130.99,82.4,11.41
20,lagoa,0,PT,1543287600,81,37.14,-8.45,50.0,4.7
21,salalah,75,OM,1543287000,78,17.01,54.1,80.6,3.36
22,dunedin,8,NZ,1543290260,83,-45.87,170.5,54.75,11.65
23,yarensk,80,RU,1543290263,86,62.17,49.09,14.66,2.59
24,pangnirtung,76,CA,1543290264,85,66.15,-65.72,14.39,6.73
25,jamestown,92,AU,1543290033,100,-33.21,138.6,55.92,11.77
26,lebu,20,ET,1543287600,87,8.96,38.73,51.8,8.05
27,punta arenas,75,CL,1543287600,81,-53.16,-70.91,46.4,21.92
28,ushuaia,20,AR,1543287600,65,-54.81,-68.31,46.4,25.28
29,jackson,1,US,1543288500,68,35.61,-88.82,30.92,4.7
30,bredasdorp,92,ZA,1543287600,87,-34.53,20.04,60.8,9.17
31,ribeira grande,100,PT,1543290266,93,38.52,-28.7,67.04,39.39
32,bud,0,NO,1543288800,86,62.91,6.91,35.6,8.05
33,esperance,75,TT,1543287600,88,10.24,-61.45,77.0,4.94
34,tomigusuku,20,JP,1543287600,61,26.18,127.67,81.68,13.87
35,fengrun,0,CN,1543290267,58,39.83,118.12,41.48,9.53
36,bathsheba,40,BB,1543287600,88,13.22,-59.52,78.8,21.92
37,vaini,0,IN,1543290268,50,15.34,74.49,71.49,6.51
38,senanga,56,ZM,1543290268,84,-16.1,23.3,69.65,9.98
39,uvat,88,RU,1543290268,79,59.14,68.9,8.94,5.73
40,mar del plata,8,AR,1543290269,73,-46.43,-67.52,55.97,11.99
41,torbay,90,CA,1543288260,100,47.66,-52.73,35.6,11.41
42,nikolskoye,90,RU,1543287600,74,59.7,30.79,28.4,15.66
43,isangel,40,VU,1543287600,74,-19.55,169.27,87.8,9.17
44,campbell river,90,CA,1543288560,100,50.02,-125.24,50.0,12.75
45,rikitea,56,PF,1543290270,97,-23.12,-134.97,78.2,8.63
46,klaksvik,80,FO,1543288800,86,62.23,-6.59,37.4,12.75
47,upernavik,0,GL,1543290271,100,72.79,-56.15,8.94,19.93
48,tuktoyaktuk,75,CA,1543287600,77,69.44,-133.03,6.8,18.34
49,sao joao da barra,88,BR,1543290010,100,-21.64,-41.05,71.45,2.59
50,matay,44,EG,1543290272,86,28.42,30.79,51.38,2.82
51,henderson,40,US,1543288500,17,36.04,-114.98,53.6,2.26
52,avarua,40,CK,1543287600,69,-21.21,-159.78,80.6,2.24
53,butaritari,0,KI,1543290273,100,3.07,172.79,84.27,5.17
54,saint-philippe,90,CA,1543289400,94,45.36,-73.48,37.58,16.11
55,yeppoon,0,AU,1543287600,32,-23.13,150.74,98.6,9.17
56,saint-joseph,0,FR,1543287600,80,43.56,6.97,48.2,4.7
57,chavakkad,20,IN,1543287600,74,10.53,76.05,78.8,6.93
58,hilo,1,US,1543287360,71,19.71,-155.08,78.08,4.7
59,bani,0,PH,1543290275,77,15.89,120.27,84.14,2.26
60,faanui,64,PF,1543290276,100,-16.48,-151.75,81.53,9.98
61,khandyga,8,RU,1543290276,0,62.65,135.58,-35.25,2.71
62,yellowknife,90,CA,1543287600,92,62.45,-114.38,21.2,17.22
63,palmerston,90,CA,1543287600,99,43.83,-80.85,33.8,17.22
64,port alfred,92,ZA,1543290276,96,-33.59,26.89,68.48,5.06
65,tessalit,48,ML,1543290277,34,20.2,1.01,57.86,6.73
66,mataura,0,NZ,1543290277,55,-46.19,168.86,70.19,11.43
67,hobart,75,AU,1543287600,72,-42.88,147.33,60.8,11.41
68,cape town,75,ZA,1543287600,82,-33.93,18.42,59.0,18.34
69,deputatskiy,32,RU,1543290278,0,69.3,139.9,-30.62,2.71
70,bluff,36,AU,1543290278,18,-23.58,149.07,98.4,12.55
71,kodiak,24,US,1543290279,94,39.95,-94.76,18.98,8.08
72,kaitangata,0,NZ,1543290279,75,-46.28,169.85,58.8,19.82
73,mahebourg,75,MU,1543287600,94,-20.41,57.7,77.0,14.99
74,souillac,90,FR,1543289400,75,45.6,-0.6,33.8,3.6
75,syracuse,90,US,1543287420,96,43.05,-76.15,39.92,10.29
76,port blair,24,IN,1543290280,95,11.67,92.75,85.49,13.0
77,sonepur,0,IN,1543287600,72,25.7,85.16,68.0,4.05
